clean_comment,category
thats make stronger !!,1
xdxdxdxdxdxdxdxdxdxdxdxdxdxdxxdxdxdxddxdxdxdxd,0
legendary song!,1
2007.......what great year music! miss days!,1
legend...,0
song got back,1
video good.. but beyonce one best video time,1
like daft punk,1
058,0
tem como morar nessa montanha ai?,0
listen listening alex hartman voice,0
video implying japan harder better faster stronger? lol,1
2024 cette musique est toujours incroyable,0
"hey thedavy3, see trolling another kanye west song. get internet people show dumb sound. see im putting place without cursing? call civil class, something seem lacking. go home watch girl big butt yugioh card apparently youtube fyi see watch",-1
credit daft punk ??,-1
poeple dis liked thought said dis like,0
back kanye wasnt so... kanye,0
"viedeosmacen asks anyone make real shit anymore, apparantly not not great song already",-1
enserio que esta basura tiene de 111.000.000 de visitas? wtf,-1
loved song grade 5,1
hey heard like radio remix song another rapper singing second verse. anyone know could find one?,0
really piss might people know guy every time hear song remember oh great song kanye west! but dont even know daft punk master piece dont recognize amazingness. thats unfair daft punk fans!,-1
stealing daft punk like....,-1
"stated tariqpryor wanna hear daft punk search them, kanye got permission sample stop hating.... p.s fuck theghostblade1999",-1
chinese white people music,0
"youre shamless liar 1 like many hiphop producers, kanye west find way creatively sample sound brand new productions. didnt slow song. sample one repeated verse daft punk track tooled around beat. real dpunk fan would know entire track tempo truly slowed down. 2 evident not steal song. daft punk listed coproducers even featured video.",0
think not kanye west.... film never back down.,0
bro want yezzys,0
506 view 15 year,0
"bet masks, daft punk cried...",-1
never back down........,0
hopechads lost?,0
junior high day,0
back kayne sorta normal,0
pointing true.,0
"ha, istone",0
best music 2020,1
thats cassie?,0
thing dont get daft punk songmusic video title kanye west ft. daft punk strong. dont know seems respectful talented people.,-1
true wat doesnt kill u make u stronger,1
look like remix,0
oha bar abi minecraft amk ka yld oldu intro bea,0
steroid problem,-1
se beber nao case part 2,0
hayaishin kanye real deal. genius come music,1
2018 september ?,0
tight,0
total shit,-1
wtf shit fuck s..... f.........k,-1
"youre moron. let preface saying im not white. 1. collectively didnt anything. 2. youre talking man would identifiedlabelled hispanic zimmerman circumstance. 3. said hyperboleappeal emotion best, way. 4. generation isnt deserving apology. thats retarded divisive. 5. black community owe white community apology reginald denny actually died?",-1
subscribers?,-1
"no body stoled nothing, 2 great artist !!",1
son like song,1
happened real music? shit like became famous?,-1
"miss u kanye, l.i.p",0
remember 10 came thought daft punk supposed alien guy,-1
"wrong boy, aint original.",-1
manchions temple race,0
2012 im still obsessed song!,1
tek trk,0
hold kanye west?,0
n e k,0
09rdog doesnt tho p,0
"keep grinding, keep going, better everyday",1
daft punk rocks!,1
kanye west best ever,1
brother lost parent young age play ball music well latest song album currently contest get 1000 like without getting 100 dislike good far. video channel deep please watch video hit like button called best if? dont wanna give chance least thumb comment someone else see hopefully help thanks. rip mom dad,1
221 fact room almost labelled 666 beyond belief,-1
daft punk also video.,-1
boom boom stronger boom boom stronger,1
arnoldogkurt wtf man..seriously..?,-1
rip daft punk killed kany west,-1
miss old kanye west not kardashian version,-1
jackvonchuie zgadzam si,0
best son ever good beat,1
ye added timbos bass song,0
didnt know kanye like anime!! yay anime!,1
deathlord1526 yes,0
2018!!!!!!!,0
cassie looking bruise free,0
pleaaseee subscribe chanel,1
yes also aware discovery entire fucking album sample,-1
remember song first dropped everyone hated it? hater stg,-1
2090 listening,0
zwijg u illuminati,-1
"dont think, love track, deeper slower...but dont fckg idea said! never pay attention that! but love both!",1
"ti greatest pleasure doth bestow upon thee sincere appreciation thou creation. verily, effort dedication thou hast poured video spectacle magnitude doth fill heart admiration. moreover, find deeply drawn work mirror life level relatability know no bounds. pray others may find much joy kinship masterpiece have. truth, artistry diligence thou hast demon",1
think beginning best,1
listening long time realised music video akira inspired. kanye huge fan 1988 cyberpunk gangster anime akira.,1
god bless kanye. fuck satanist leech plaguing society.,-1
next send chick scp right,0
like harder better faster stronger,1
yeeee amazing music video damn,1
came logan music change,0
